Frame:	Label:	Points:	Bounding Box ID:	Frame path: data3/kinshi-egg
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	shell_egg	(61,219,21,21)	7	0.jpg
0	oil_bottle	(0,153,33,48)	24	0.jpg
0	knife	(28,103,30,70)	22	0.jpg
0	cutting_board	(10,113,54,60)	19	0.jpg
0	bowl	(56,114,43,42)	17	0.jpg
0	frying_pan	(96,90,83,100)	14	0.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	shell_egg	(61,219,21,21)	7	1.jpg
1	oil_bottle	(0,153,33,48)	24	1.jpg
1	knife	(28,103,30,70)	22	1.jpg
1	cutting_board	(10,113,54,60)	19	1.jpg
1	bowl	(56,114,43,42)	17	1.jpg
1	frying_pan	(96,90,83,100)	14	1.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	shell_egg	(61,219,21,21)	7	2.jpg
2	oil_bottle	(0,153,33,48)	24	2.jpg
2	knife	(28,103,30,70)	22	2.jpg
2	cutting_board	(10,113,54,60)	19	2.jpg
2	bowl	(56,114,43,42)	17	2.jpg
2	frying_pan	(96,90,83,100)	14	2.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	shell_egg	(61,219,21,21)	7	3.jpg
3	oil_bottle	(0,153,33,48)	24	3.jpg
3	knife	(28,103,30,70)	22	3.jpg
3	cutting_board	(10,113,54,60)	19	3.jpg
3	bowl	(56,114,43,42)	17	3.jpg
3	frying_pan	(96,90,83,100)	14	3.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	shell_egg	(61,219,21,21)	7	4.jpg
4	oil_bottle	(0,153,33,48)	24	4.jpg
4	knife	(28,103,30,70)	22	4.jpg
4	cutting_board	(10,113,54,60)	19	4.jpg
4	bowl	(56,114,43,42)	17	4.jpg
4	frying_pan	(96,90,83,100)	14	4.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	shell_egg	(61,219,21,21)	7	5.jpg
5	oil_bottle	(0,153,33,48)	24	5.jpg
5	knife	(28,103,30,70)	22	5.jpg
5	cutting_board	(10,113,54,60)	19	5.jpg
5	bowl	(56,114,43,42)	17	5.jpg
5	frying_pan	(96,90,83,100)	14	5.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	shell_egg	(61,219,21,21)	7	6.jpg
6	oil_bottle	(0,153,33,48)	24	6.jpg
6	knife	(28,103,30,70)	22	6.jpg
6	cutting_board	(10,113,54,60)	19	6.jpg
6	bowl	(56,114,43,42)	17	6.jpg
6	frying_pan	(96,90,83,100)	14	6.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	shell_egg	(61,219,21,21)	7	7.jpg
7	oil_bottle	(0,153,33,48)	24	7.jpg
7	knife	(28,103,30,70)	22	7.jpg
7	cutting_board	(10,113,54,60)	19	7.jpg
7	bowl	(56,114,43,42)	17	7.jpg
7	frying_pan	(96,90,83,100)	14	7.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	shell_egg	(61,219,21,21)	7	8.jpg
8	oil_bottle	(0,153,33,48)	24	8.jpg
8	knife	(28,103,30,70)	22	8.jpg
8	cutting_board	(10,113,54,60)	19	8.jpg
8	bowl	(56,114,43,42)	17	8.jpg
8	frying_pan	(96,90,83,100)	14	8.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	shell_egg	(61,219,21,21)	7	9.jpg
9	oil_bottle	(0,153,33,48)	24	9.jpg
9	knife	(28,103,30,70)	22	9.jpg
9	cutting_board	(10,113,54,60)	19	9.jpg
9	bowl	(56,114,43,42)	17	9.jpg
9	frying_pan	(96,90,83,100)	14	9.jpg
10	table	(0,112,101,142)	29	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
10	shell_egg	(61,219,21,21)	7	10.jpg
10	oil_bottle	(0,153,33,48)	24	10.jpg
10	knife	(28,103,30,70)	22	10.jpg
10	cutting_board	(10,113,54,60)	19	10.jpg
10	bowl	(56,114,43,42)	17	10.jpg
10	frying_pan	(96,90,83,100)	14	10.jpg
11	table	(0,112,101,142)	29	11.jpg
11	stove	(103,112,154,123)	30	11.jpg
11	shell_egg	(61,219,21,21)	7	11.jpg
11	oil_bottle	(0,153,33,48)	24	11.jpg
11	knife	(28,103,30,70)	22	11.jpg
11	cutting_board	(10,113,54,60)	19	11.jpg
11	bowl	(56,114,43,42)	17	11.jpg
11	frying_pan	(96,90,83,100)	14	11.jpg
12	table	(0,112,101,142)	29	12.jpg
12	stove	(103,112,154,123)	30	12.jpg
12	shell_egg	(61,219,21,21)	7	12.jpg
12	oil_bottle	(0,153,33,48)	24	12.jpg
12	knife	(28,103,30,70)	22	12.jpg
12	cutting_board	(10,113,54,60)	19	12.jpg
12	bowl	(56,114,43,42)	17	12.jpg
12	frying_pan	(96,90,83,100)	14	12.jpg
