Frame:	Label:	Points:	Bounding Box ID:	Frame path: data6/boiled-egg/
0	shell_egg	(42,208,22,23)	7	0.jpg
0	pan	(185,117,72,70)	13	0.jpg
0	frying_pan	(98,93,84,107)	14	0.jpg
0	pan_handle	(114,93,30,48)	15	0.jpg
0	pan_lid	(202,235,55,21)	16	0.jpg
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	bowl	(50,109,46,44)	17	0.jpg
0	cutting_board	(9,113,56,61)	19	0.jpg
0	knife	(6,108,60,59)	22	0.jpg
1	shell_egg	(42,208,22,23)	7	1.jpg
1	pan	(185,117,72,70)	13	1.jpg
1	frying_pan	(98,93,84,107)	14	1.jpg
1	pan_handle	(114,93,30,48)	15	1.jpg
1	pan_lid	(202,235,55,21)	16	1.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	bowl	(50,109,46,44)	17	1.jpg
1	cutting_board	(9,113,56,61)	19	1.jpg
1	knife	(6,108,60,59)	22	1.jpg
2	shell_egg	(42,208,22,23)	7	2.jpg
2	pan	(185,117,72,70)	13	2.jpg
2	frying_pan	(98,93,84,107)	14	2.jpg
2	pan_handle	(114,93,30,48)	15	2.jpg
2	pan_lid	(202,235,55,21)	16	2.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	bowl	(50,109,46,44)	17	2.jpg
2	cutting_board	(9,113,56,61)	19	2.jpg
2	knife	(6,108,60,59)	22	2.jpg
3	shell_egg	(42,208,22,23)	7	3.jpg
3	pan	(185,117,72,70)	13	3.jpg
3	frying_pan	(98,93,84,107)	14	3.jpg
3	pan_handle	(114,93,30,48)	15	3.jpg
3	pan_lid	(202,235,55,21)	16	3.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	bowl	(50,109,46,44)	17	3.jpg
3	cutting_board	(9,113,56,61)	19	3.jpg
3	knife	(6,108,60,59)	22	3.jpg
4	shell_egg	(42,208,22,23)	7	4.jpg
4	pan	(185,117,72,70)	13	4.jpg
4	frying_pan	(98,93,84,107)	14	4.jpg
4	pan_handle	(114,93,30,48)	15	4.jpg
4	pan_lid	(202,235,55,21)	16	4.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	bowl	(50,109,46,44)	17	4.jpg
4	cutting_board	(9,113,56,61)	19	4.jpg
4	knife	(6,108,60,59)	22	4.jpg
5	shell_egg	(42,208,22,23)	7	5.jpg
5	pan	(185,117,72,70)	13	5.jpg
5	frying_pan	(98,93,84,107)	14	5.jpg
5	pan_handle	(114,93,30,48)	15	5.jpg
5	pan_lid	(202,235,55,21)	16	5.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	bowl	(50,109,46,44)	17	5.jpg
5	cutting_board	(9,113,56,61)	19	5.jpg
5	knife	(6,108,60,59)	22	5.jpg
6	shell_egg	(42,208,22,23)	7	6.jpg
6	pan	(185,117,72,70)	13	6.jpg
6	frying_pan	(98,93,84,107)	14	6.jpg
6	pan_handle	(114,93,30,48)	15	6.jpg
6	pan_lid	(202,235,55,21)	16	6.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	bowl	(50,109,46,44)	17	6.jpg
6	cutting_board	(9,113,56,61)	19	6.jpg
6	knife	(6,108,60,59)	22	6.jpg
7	shell_egg	(42,208,22,23)	7	7.jpg
7	pan	(185,117,72,70)	13	7.jpg
7	frying_pan	(98,93,84,107)	14	7.jpg
7	pan_handle	(114,93,30,48)	15	7.jpg
7	pan_lid	(202,235,55,21)	16	7.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	bowl	(50,109,46,44)	17	7.jpg
7	cutting_board	(9,113,56,61)	19	7.jpg
7	knife	(6,108,60,59)	22	7.jpg
8	shell_egg	(42,208,22,23)	7	8.jpg
8	pan	(185,117,72,70)	13	8.jpg
8	frying_pan	(98,93,84,107)	14	8.jpg
8	pan_handle	(114,93,30,48)	15	8.jpg
8	pan_lid	(202,235,55,21)	16	8.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	bowl	(50,109,46,44)	17	8.jpg
8	cutting_board	(9,113,56,61)	19	8.jpg
8	knife	(6,108,60,59)	22	8.jpg
9	shell_egg	(42,208,22,23)	7	9.jpg
9	pan	(185,117,72,70)	13	9.jpg
9	frying_pan	(98,93,84,107)	14	9.jpg
9	pan_handle	(114,93,30,48)	15	9.jpg
9	pan_lid	(202,235,55,21)	16	9.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	bowl	(50,109,46,44)	17	9.jpg
9	cutting_board	(9,113,56,61)	19	9.jpg
9	knife	(6,108,60,59)	22	9.jpg
10	shell_egg	(42,208,22,23)	7	10.jpg
10	pan	(185,117,72,70)	13	10.jpg
10	frying_pan	(98,93,84,107)	14	10.jpg
10	pan_handle	(114,93,30,48)	15	10.jpg
10	pan_lid	(202,235,55,21)	16	10.jpg
10	table	(0,112,101,142)	29	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
10	bowl	(50,109,46,44)	17	10.jpg
10	cutting_board	(9,113,56,61)	19	10.jpg
10	knife	(6,108,60,59)	22	10.jpg
11	shell_egg	(42,208,22,23)	7	11.jpg
11	pan	(185,117,72,70)	13	11.jpg
11	frying_pan	(98,93,84,107)	14	11.jpg
11	pan_handle	(114,93,30,48)	15	11.jpg
11	pan_lid	(202,235,55,21)	16	11.jpg
11	table	(0,112,101,142)	29	11.jpg
11	stove	(103,112,154,123)	30	11.jpg
11	bowl	(50,109,46,44)	17	11.jpg
11	cutting_board	(9,113,56,61)	19	11.jpg
11	knife	(6,108,60,59)	22	11.jpg
12	shell_egg	(42,208,22,23)	7	12.jpg
12	pan	(185,117,72,70)	13	12.jpg
12	frying_pan	(98,93,84,107)	14	12.jpg
12	pan_handle	(114,93,30,48)	15	12.jpg
12	pan_lid	(202,235,55,21)	16	12.jpg
12	table	(0,112,101,142)	29	12.jpg
12	stove	(103,112,154,123)	30	12.jpg
12	bowl	(50,109,46,44)	17	12.jpg
12	cutting_board	(9,113,56,61)	19	12.jpg
12	knife	(6,108,60,59)	22	12.jpg
13	shell_egg	(42,208,22,23)	7	13.jpg
13	pan	(185,117,72,70)	13	13.jpg
13	frying_pan	(98,93,84,107)	14	13.jpg
13	pan_handle	(114,93,30,48)	15	13.jpg
13	pan_lid	(202,235,55,21)	16	13.jpg
13	table	(0,112,101,142)	29	13.jpg
13	stove	(103,112,154,123)	30	13.jpg
13	bowl	(50,109,46,44)	17	13.jpg
13	cutting_board	(9,113,56,61)	19	13.jpg
13	knife	(6,108,60,59)	22	13.jpg
14	shell_egg	(42,208,22,23)	7	14.jpg
14	pan	(185,117,72,70)	13	14.jpg
14	frying_pan	(98,93,84,107)	14	14.jpg
14	pan_handle	(114,93,30,48)	15	14.jpg
14	pan_lid	(202,235,55,21)	16	14.jpg
14	table	(0,112,101,142)	29	14.jpg
14	stove	(103,112,154,123)	30	14.jpg
14	bowl	(50,109,46,44)	17	14.jpg
14	cutting_board	(9,113,56,61)	19	14.jpg
14	knife	(6,108,60,59)	22	14.jpg
15	shell_egg	(42,208,22,23)	7	15.jpg
15	pan	(185,117,72,70)	13	15.jpg
15	frying_pan	(98,93,84,107)	14	15.jpg
15	pan_handle	(114,93,30,48)	15	15.jpg
15	pan_lid	(202,235,55,21)	16	15.jpg
15	table	(0,112,101,142)	29	15.jpg
15	stove	(103,112,154,123)	30	15.jpg
15	bowl	(50,109,46,44)	17	15.jpg
15	cutting_board	(9,113,56,61)	19	15.jpg
15	knife	(6,108,60,59)	22	15.jpg
16	shell_egg	(42,208,22,23)	7	16.jpg
16	pan	(185,117,72,70)	13	16.jpg
16	frying_pan	(98,93,84,107)	14	16.jpg
16	pan_handle	(114,93,30,48)	15	16.jpg
16	pan_lid	(202,235,55,21)	16	16.jpg
16	table	(0,112,101,142)	29	16.jpg
16	stove	(103,112,154,123)	30	16.jpg
16	bowl	(50,109,46,44)	17	16.jpg
16	cutting_board	(9,113,56,61)	19	16.jpg
16	knife	(6,108,60,59)	22	16.jpg
17	shell_egg	(42,208,22,23)	7	17.jpg
17	pan	(185,117,72,70)	13	17.jpg
17	frying_pan	(98,93,84,107)	14	17.jpg
17	pan_handle	(114,93,30,48)	15	17.jpg
17	pan_lid	(202,235,55,21)	16	17.jpg
17	table	(0,112,101,142)	29	17.jpg
17	stove	(103,112,154,123)	30	17.jpg
17	bowl	(50,109,46,44)	17	17.jpg
17	cutting_board	(9,113,56,61)	19	17.jpg
17	knife	(6,108,60,59)	22	17.jpg
18	shell_egg	(42,208,22,23)	7	18.jpg
18	pan	(185,117,72,70)	13	18.jpg
18	frying_pan	(98,93,84,107)	14	18.jpg
18	pan_handle	(114,93,30,48)	15	18.jpg
