Frame:	Label:	Points:	Bounding Box ID:	Frame path: data7/omelette/
0	shell_egg	(30,220,24,23)	7	0.jpg
0	ham	(63,160,32,32)	12	0.jpg
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	frying_pan	(102,92,84,102)	14	0.jpg
0	bowl	(53,107,44,42)	17	0.jpg
0	cutting_board	(9,113,55,61)	19	0.jpg
0	knife	(28,102,26,68)	22	0.jpg
0	milk_carton	(0,207,21,36)	23	0.jpg
0	oil_bottle	(0,147,28,47)	24	0.jpg
0	saltshaker	(20,157,39,56)	26	0.jpg
0	spoon	(33,176,16,26)	27	0.jpg
1	shell_egg	(30,220,24,23)	7	1.jpg
1	ham	(63,160,32,32)	12	1.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	frying_pan	(102,92,84,102)	14	1.jpg
1	bowl	(53,107,44,42)	17	1.jpg
1	cutting_board	(9,113,55,61)	19	1.jpg
1	knife	(28,102,26,68)	22	1.jpg
1	milk_carton	(0,207,21,36)	23	1.jpg
1	oil_bottle	(0,147,28,47)	24	1.jpg
1	saltshaker	(20,157,39,56)	26	1.jpg
1	spoon	(33,176,16,26)	27	1.jpg
2	shell_egg	(30,220,24,23)	7	2.jpg
2	ham	(63,160,32,32)	12	2.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	frying_pan	(102,92,84,102)	14	2.jpg
2	bowl	(53,107,44,42)	17	2.jpg
2	cutting_board	(9,113,55,61)	19	2.jpg
2	knife	(28,102,26,68)	22	2.jpg
2	milk_carton	(0,207,21,36)	23	2.jpg
2	oil_bottle	(0,147,28,47)	24	2.jpg
2	saltshaker	(20,157,39,56)	26	2.jpg
2	spoon	(33,176,16,26)	27	2.jpg
3	shell_egg	(30,220,24,23)	7	3.jpg
3	ham	(63,160,32,32)	12	3.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	frying_pan	(102,92,84,102)	14	3.jpg
3	bowl	(53,107,44,42)	17	3.jpg
3	cutting_board	(9,113,55,61)	19	3.jpg
3	knife	(28,102,26,68)	22	3.jpg
3	milk_carton	(0,207,21,36)	23	3.jpg
3	oil_bottle	(0,147,28,47)	24	3.jpg
3	saltshaker	(20,157,39,56)	26	3.jpg
3	spoon	(33,176,16,26)	27	3.jpg
4	shell_egg	(30,220,24,23)	7	4.jpg
4	ham	(63,160,32,32)	12	4.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	frying_pan	(102,92,84,102)	14	4.jpg
4	bowl	(53,107,44,42)	17	4.jpg
4	cutting_board	(9,113,55,61)	19	4.jpg
4	knife	(28,102,26,68)	22	4.jpg
4	milk_carton	(0,207,21,36)	23	4.jpg
4	oil_bottle	(0,147,28,47)	24	4.jpg
4	saltshaker	(20,157,39,56)	26	4.jpg
4	spoon	(33,176,16,26)	27	4.jpg
5	shell_egg	(30,220,24,23)	7	5.jpg
5	ham	(63,160,32,32)	12	5.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	frying_pan	(102,92,84,102)	14	5.jpg
5	bowl	(53,107,44,42)	17	5.jpg
5	cutting_board	(9,113,55,61)	19	5.jpg
5	knife	(28,102,26,68)	22	5.jpg
5	milk_carton	(0,207,21,36)	23	5.jpg
5	oil_bottle	(0,147,28,47)	24	5.jpg
5	saltshaker	(20,157,39,56)	26	5.jpg
5	spoon	(33,176,16,26)	27	5.jpg
6	shell_egg	(30,220,24,23)	7	6.jpg
6	ham	(63,160,32,32)	12	6.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	frying_pan	(102,92,84,102)	14	6.jpg
6	bowl	(53,107,44,42)	17	6.jpg
6	cutting_board	(9,113,55,61)	19	6.jpg
6	knife	(28,102,26,68)	22	6.jpg
6	milk_carton	(0,207,21,36)	23	6.jpg
6	oil_bottle	(0,147,28,47)	24	6.jpg
6	saltshaker	(20,157,39,56)	26	6.jpg
6	spoon	(33,176,16,26)	27	6.jpg
7	shell_egg	(30,220,24,23)	7	7.jpg
7	ham	(63,160,32,32)	12	7.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	frying_pan	(102,92,84,102)	14	7.jpg
7	bowl	(53,107,44,42)	17	7.jpg
7	cutting_board	(9,113,55,61)	19	7.jpg
7	knife	(28,102,26,68)	22	7.jpg
7	milk_carton	(0,207,21,36)	23	7.jpg
7	oil_bottle	(0,147,28,47)	24	7.jpg
7	saltshaker	(20,157,39,56)	26	7.jpg
7	spoon	(33,176,16,26)	27	7.jpg
8	shell_egg	(30,220,24,23)	7	8.jpg
8	ham	(63,160,32,32)	12	8.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	frying_pan	(102,92,84,102)	14	8.jpg
8	bowl	(53,107,44,42)	17	8.jpg
8	cutting_board	(9,113,55,61)	19	8.jpg
8	knife	(28,102,26,68)	22	8.jpg
8	milk_carton	(0,207,21,36)	23	8.jpg
8	oil_bottle	(0,147,28,47)	24	8.jpg
8	saltshaker	(20,157,39,56)	26	8.jpg
8	spoon	(33,176,16,26)	27	8.jpg
9	shell_egg	(30,220,24,23)	7	9.jpg
9	ham	(63,160,32,32)	12	9.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	frying_pan	(102,92,84,102)	14	9.jpg
9	bowl	(53,107,44,42)	17	9.jpg
9	cutting_board	(9,113,55,61)	19	9.jpg
9	knife	(28,102,26,68)	22	9.jpg
9	milk_carton	(0,207,21,36)	23	9.jpg
9	oil_bottle	(0,147,28,47)	24	9.jpg
9	saltshaker	(20,157,39,56)	26	9.jpg
9	spoon	(33,176,16,26)	27	9.jpg
10	shell_egg	(30,220,24,23)	7	10.jpg
10	ham	(63,160,32,32)	12	10.jpg
10	table	(0,112,101,142)	29	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
10	frying_pan	(102,92,84,102)	14	10.jpg
10	bowl	(53,107,44,42)	17	10.jpg
10	cutting_board	(9,113,55,61)	19	10.jpg
10	knife	(28,102,26,68)	22	10.jpg
10	milk_carton	(0,207,21,36)	23	10.jpg
10	oil_bottle	(0,147,28,47)	24	10.jpg
10	saltshaker	(20,157,39,56)	26	10.jpg
10	spoon	(33,176,16,26)	27	10.jpg
11	shell_egg	(30,220,24,23)	7	11.jpg
11	ham	(63,160,32,32)	12	11.jpg
11	table	(0,112,101,142)	29	11.jpg
11	stove	(103,112,154,123)	30	11.jpg
11	frying_pan	(102,92,84,102)	14	11.jpg
11	bowl	(53,107,44,42)	17	11.jpg
11	cutting_board	(9,113,55,61)	19	11.jpg
11	knife	(28,102,26,68)	22	11.jpg
11	milk_carton	(0,207,21,36)	23	11.jpg
11	oil_bottle	(0,147,28,47)	24	11.jpg
11	saltshaker	(20,157,39,56)	26	11.jpg
11	spoon	(33,176,16,26)	27	11.jpg
12	shell_egg	(30,220,24,23)	7	12.jpg
12	ham	(63,160,32,32)	12	12.jpg
12	table	(0,112,101,142)	29	12.jpg
12	stove	(103,112,154,123)	30	12.jpg
12	frying_pan	(102,92,84,102)	14	12.jpg
12	bowl	(53,107,44,42)	17	12.jpg
12	cutting_board	(9,113,55,61)	19	12.jpg
12	knife	(28,102,26,68)	22	12.jpg
12	milk_carton	(0,207,21,36)	23	12.jpg
12	oil_bottle	(0,147,28,47)	24	12.jpg
12	saltshaker	(20,157,39,56)	26	12.jpg
12	spoon	(33,176,16,26)	27	12.jpg
13	shell_egg	(30,220,24,23)	7	13.jpg
13	ham	(63,160,32,32)	12	13.jpg
13	table	(0,112,101,142)	29	13.jpg
13	stove	(103,112,154,123)	30	13.jpg
13	frying_pan	(102,92,84,102)	14	13.jpg
13	bowl	(53,107,44,42)	17	13.jpg
13	cutting_board	(9,113,55,61)	19	13.jpg
13	knife	(28,102,26,68)	22	13.jpg
13	milk_carton	(0,207,21,36)	23	13.jpg
13	oil_bottle	(0,147,28,47)	24	13.jpg
13	saltshaker	(20,157,39,56)	26	13.jpg
13	spoon	(33,176,16,26)	27	13.jpg
14	shell_egg	(30,220,24,23)	7	14.jpg
14	ham	(63,160,32,32)	12	14.jpg
14	table	(0,112,101,142)	29	14.jpg
14	stove	(103,112,154,123)	30	14.jpg
14	frying_pan	(102,92,84,102)	14	14.jpg
14	bowl	(53,107,44,42)	17	14.jpg
14	cutting_board	(9,113,55,61)	19	14.jpg
14	knife	(28,102,26,68)	22	14.jpg
14	milk_carton	(0,207,21,36)	23	14.jpg
14	oil_bottle	(0,147,28,47)	24	14.jpg
14	saltshaker	(20,157,39,56)	26	14.jpg
14	spoon	(33,176,16,26)	27	14.jpg
15	shell_egg	(30,220,24,23)	7	15.jpg
15	ham	(63,160,32,32)	12	15.jpg
15	table	(0,112,101,142)	29	15.jpg
15	stove	(103,112,154,123)	30	15.jpg
15	frying_pan	(102,92,84,102)	14	15.jpg
15	bowl	(53,107,44,42)	17	15.jpg
15	cutting_board	(9,113,55,61)	19	15.jpg
15	knife	(28,102,26,68)	22	15.jpg
15	milk_carton	(0,207,21,36)	23	15.jpg
15	oil_bottle	(0,147,28,47)	24	15.jpg
15	saltshaker	(20,157,39,56)	26	15.jpg
15	spoon	(33,176,16,26)	27	15.jpg
16	shell_egg	(30,220,24,23)	7	16.jpg
16	ham	(63,160,32,32)	12	16.jpg
16	table	(0,112,101,142)	29	16.jpg
16	stove	(103,112,154,123)	30	16.jpg
16	frying_pan	(102,92,84,102)	14	16.jpg
16	bowl	(53,107,44,42)	17	16.jpg
