Frame:	Label:	Points:	Bounding Box ID:	Frame path: data7/scrambled-egg/
0	shell_egg	(42,231,23,24)	7	0.jpg
0	ham	(57,180,33,34)	12	0.jpg
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	frying_pan	(98,89,83,106)	14	0.jpg
0	bowl	(55,129,45,43)	17	0.jpg
0	cutting_board	(8,111,57,61)	19	0.jpg
0	shell_egg	(44,216,23,23)	7	0.jpg
0	knife	(24,104,32,69)	22	0.jpg
0	milk_carton	(0,219,17,35)	23	0.jpg
0	oil_bottle	(0,146,32,50)	24	0.jpg
0	saltshaker	(14,161,40,55)	26	0.jpg
0	spoon	(28,176,17,30)	27	0.jpg
1	shell_egg	(42,231,23,24)	7	1.jpg
1	ham	(57,180,33,34)	12	1.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	frying_pan	(98,89,83,106)	14	1.jpg
1	bowl	(55,129,45,43)	17	1.jpg
1	cutting_board	(8,111,57,61)	19	1.jpg
1	shell_egg	(44,216,23,23)	7	1.jpg
1	knife	(24,104,32,69)	22	1.jpg
1	milk_carton	(0,219,17,35)	23	1.jpg
1	oil_bottle	(0,146,32,50)	24	1.jpg
1	saltshaker	(14,161,40,55)	26	1.jpg
1	spoon	(28,176,17,30)	27	1.jpg
2	shell_egg	(42,231,23,24)	7	2.jpg
2	ham	(57,180,33,34)	12	2.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	frying_pan	(98,89,83,106)	14	2.jpg
2	bowl	(55,129,45,43)	17	2.jpg
2	cutting_board	(8,111,57,61)	19	2.jpg
2	shell_egg	(44,216,23,23)	7	2.jpg
2	knife	(24,104,32,69)	22	2.jpg
2	milk_carton	(0,219,17,35)	23	2.jpg
2	oil_bottle	(0,146,32,50)	24	2.jpg
2	saltshaker	(14,161,40,55)	26	2.jpg
2	spoon	(28,176,17,30)	27	2.jpg
3	shell_egg	(42,231,23,24)	7	3.jpg
3	ham	(57,180,33,34)	12	3.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	frying_pan	(98,89,83,106)	14	3.jpg
3	bowl	(55,129,45,43)	17	3.jpg
3	cutting_board	(8,111,57,61)	19	3.jpg
3	shell_egg	(44,216,23,23)	7	3.jpg
3	knife	(24,104,32,69)	22	3.jpg
3	milk_carton	(0,219,17,35)	23	3.jpg
3	oil_bottle	(0,146,32,50)	24	3.jpg
3	saltshaker	(14,161,40,55)	26	3.jpg
3	spoon	(28,176,17,30)	27	3.jpg
4	shell_egg	(42,231,23,24)	7	4.jpg
4	ham	(57,180,33,34)	12	4.jpg
4	table	(0,112,101,142)	29	4.jpg
